Start Date,End Date,Business Purpose,Start Location,End Location,Miles,Deductible Amount
2025-07-31 21:13:27,2025-08-01 02:00:00,work - Uber,"Commercial Vehicle Holding Area, Titus Court, Denver, CO, United States of America","Piney Creek Trail, Centennial",184.84,129.39
2025-07-31 15:40:01,2025-07-31 19:39:02,work - Uber,"South Parker Road, Centennial","Commercial Vehicle Holding Area, Titus Court, Denver, CO, United States of America",83.69,58.59
2025-07-30 23:06:47,2025-07-31 00:39:07,work - Uber,"Commercial Vehicle Holding Area, Titus Court, Denver, CO, United States of America","Piney Creek Trail, Centennial",44.3,31.01
2025-07-30 14:44:24,2025-07-30 17:49:56,work - Uber,"Piney Creek Trail, Centennial","Commercial Vehicle Holding Area, Titus Court, Denver, CO, United States of America",78.55,54.99
2025-07-27 23:52:42,2025-07-28 01:49:56,work - Uber,"Commerce Road, Weld County","Piney Creek Trail, Centennial",78.67,55.07
2025-07-27 20:50:03,2025-07-27 23:20:00,work - Uber,"Commercial Vehicle Holding Area, Titus Court, Denver, CO, United States of America","521 Nugget Road, Weld County",102.27,71.59
2025-07-27 14:00:43,2025-07-27 17:49:21,work - Uber,"Piney Creek Trail, Centennial","East Colfax Avenue, Aurora",102.36,71.65
2025-07-26 20:20:37,2025-07-26 23:59:56,work - Uber,"Commercial Vehicle Holding Area, Titus Court, Denver, CO, United States of America","In-N-Out Burger, 9558 Twenty Mile Road, Parker",120.5,84.35
2025-07-25 21:35:32,2025-07-26 02:30:00,work - Uber,"Commercial Vehicle Holding Area, Titus Court, Denver, CO, United States of America","6098 South Fraser Street, Centennial",194.25,135.98
2025-07-25 15:56:05,2025-07-25 18:19:59,work - Uber,"East Quincy Avenue, Aurora","Commercial Vehicle Holding Area, Titus Court, Denver, CO, United States of America",57.55,40.28
2025-07-24 21:55:27,2025-07-25 00:29:20,work - Uber,"Commercial Vehicle Holding Area, Titus Court, Denver, CO, United States of America","Piney Creek Trail, Centennial",97.95,68.56
2025-07-24 19:20:56,2025-07-24 20:59:59,work - Uber,"9191 Huron Street, Thornton","Commercial Vehicle Holding Area, Titus Court, Denver, CO, United States of America",37.12,25.98
2025-07-24 15:59:11,2025-07-24 18:50:00,work - Uber,"Piney Creek Trail, Centennial","Thornton Parkway, Thornton",77.39,54.18
2025-07-19 14:40:02,2025-07-19 19:09:49,work - Uber,"unnamed road, Centennial","Piney Creek Trail, Centennial",91.44,64.01
2025-07-18 21:50:00,2025-07-19 03:09:51,work - Uber,"1321 15th Street, Denver","Piney Creek Trail, Centennial",153.37,107.36
2025-07-18 16:36:30,2025-07-18 21:29:58,work - Uber,"Piney Creek Trail, Centennial","20th Street Multi-Use Path, Denver",104.28,73.0
2025-07-11 19:40:41,2025-07-12 04:49:59,work - Uber,"Piney Creek Trail, Centennial","Orchard Valley Early Learning Center, 15100 East Orchard Road, Centennial",276.53,193.57
2025-07-10 21:22:36,2025-07-11 03:28:06,work - Uber,"7-Eleven, East Lincoln Avenue, Parker","Piney Creek Trail, Centennial",178.67,125.07
2025-07-10 20:00:11,2025-07-10 20:59:36,work - Uber,"Piney Creek Trail, Centennial","7-Eleven, 16981 East Lincoln Avenue, Parker",15.79,11.05
2025-08-29 21:50:02,2025-08-30 00:15:45,work - Uber,"Commercial Vehicle Holding Area, Titus Court, Denver, CO, United States of America","unnamed road, Denver",83.38,58.37
2025-08-29 19:25:33,2025-08-29 21:29:47,work - Uber,"7849 Shady Grove Street, Denver","Shady Grove Street, Denver, CO, United States of America",63.68,44.58
2025-08-29 17:00:26,2025-08-29 18:34:27,work - Uber,"West Littleton Boulevard, Littleton","Commercial Vehicle Holding Area, Titus Court, Denver, CO, United States of America",36.4,25.48
2025-08-29 14:34:14,2025-08-29 16:19:58,work - Uber,"East 115th Avenue, Northglenn","West Littleton Boulevard, Littleton",77.42,54.19
2025-08-29 00:53:29,2025-08-29 03:19:09,work - Uber,"Tiffany Plaza, 7550 East Hampden, Denver","Piney Creek Trail, Centennial",88.4,61.88
2025-08-28 20:20:03,2025-08-28 22:39:58,work - Uber,"Commercial Vehicle Holding Area, Titus Court, Denver, CO, United States of America","unnamed road, Monument, El Paso County",104.06,72.84
2025-08-28 18:12:15,2025-08-28 19:39:56,work - Uber,"Commercial Vehicle Holding Area, Titus Court, Denver, CO, United States of America","Commercial Vehicle Holding Area, Titus Court, Denver, CO, United States of America",69.47,48.63
2025-08-27 22:21:25,2025-08-27 22:54:31,work - Uber,"Promenade Parkway, Castle Rock","McDonald's, 10950 South Parker Road, Parker",19.02,13.31
2025-08-27 19:41:35,2025-08-27 21:39:33,work - Uber,"Shady Grove Street, Denver, CO, United States of America","Promenade Parkway, Castle Rock",60.52,42.37
